"STRATUM","SCHOOLID","StIDStd","BIRTHMONTH","BIRTHYEAR","ESCS","PV1MATH","PV2MATH","PV3MATH","PV4MATH","PV5MATH","PV1MATH_LEVEL","PV2MATH_LEVEL","PV3MATH_LEVEL","PV4MATH_LEVEL","PV5MATH_LEVEL","STATE","GEOLOC","GENDER","INDIG","ESCS_Q","ST29Q01","ST29Q03","ST29Q04","ST29Q06","ST29Q02","ST29Q05","ST29Q07","ST29Q08","ST42Q02","ST42Q04","ST42Q06","ST42Q07","ST42Q09","ST37Q01","ST37Q02","ST37Q03","ST37Q04","ST37Q05","ST37Q06","ST37Q07","ST37Q08","ST91Q01","ST91Q02","ST91Q03","ST91Q04","ST91Q05","ST91Q06","ST43Q01","ST43Q02","ST43Q03","ST43Q04","ST43Q05","ST43Q06","ST44Q01","ST44Q03","ST44Q04","ST44Q05","ST44Q07","ST44Q08","ST42Q01","ST42Q03","ST42Q05","ST42Q08","ST42Q10","ST35Q01","ST35Q02","ST35Q03","ST35Q04","ST35Q05","ST35Q06"
"AUS0617",391,7225,4,1997,0.29,352.7886,317.7364,366.0305,373.041,352.0097,1,1,2,2,1,"WA","Urban","Female","Indigenous",3,4,4,4,3,2,2,1,2,1,4,4,4,4,3,3,2,2,3,1,1,1,1,1,2,1,1,4,1,3,3,1,3,1,1,2,1,1,2,1,1,1,2,4,1,2,1,2,1,1,1
"AUS0617",391,7231,4,1997,-0.53,619.1073,613.6548,578.6026,614.4337,591.0656,6,6,5,6,5,"WA","Urban","Male","Non-indigenous",1,3,3,3,2,2,2,2,2,3,2,3,3,3,1,1,1,2,1,2,1,3,2,3,2,3,2,3,2,2,1,3,2,3,3,2,4,2,3,3,3,3,3,3,3,2,2,3,2,2,3
"AUS0309",392,7239,12,1996,0.75,577.5121,630.4798,612.5643,597.7644,666.311,5,6,6,5,6,"NSW","Urban","Male","Non-indigenous",3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,1,1,1,3,1,1,4,1,1,4,1,1,4,4,1,4,4,4,4,4,1,4,4,4,4,4,4,3,2,3,2,3,2
"AUS0309",392,7242,1,1997,-0.11,501.1762,519.8707,437.3033,486.3764,434.9665,4,4,3,4,3,"NSW","Urban","Female","Non-indigenous",2,3,2,2,3,2,3,2,2,3,2,2,2,2,1,2,1,1,1,3,1,1,2,2,3,1,1,3,2,2,3,1,1,3,2,2,3,1,1,4,3,3,3,3,3,2,3,3,3,3,2
"AUS0309",392,7244,3,1997,1.03,525.479,548.8472,528.5948,491.9847,488.09,4,5,4,4,4,"NSW","Urban","Female","Non-indigenous",4,3,3,3,2,2,2,2,2,3,2,2,3,3,2,2,3,2,2,3,2,3,2,2,3,3,2,3,2,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,2,2,2
"AUS0309",392,7245,9,1996,0.23,420.5562,441.5875,408.0932,405.7563,458.7241,3,3,2,2,3,"NSW","Urban","Male","Non-indigenous",2,2,2,1,2,1,1,1,1,3,1,2,2,2,1,1,2,2,1,1,1,2,1,1,3,2,1,4,1,1,3,1,1,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1
"AUS0309",392,7247,8,1996,0.9,654.3932,629.4672,605.3201,688.6665,617.0042,6,6,5,7,6,"NSW","Urban","Male","Non-indigenous",4,2,1,1,1,2,1,1,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,1,4,1,2,3,3,1,4,4,1,4,4,3,1,4,3,4,4,3,3,2,3,1,2,1
"AUS0309",392,7249,11,1996,-0.5,595.2718,620.1979,583.5878,571.9037,624.8715,5,6,5,5,6,"NSW","Urban","Female","Non-indigenous",1,1,1,1,1,2,2,2,2,4,1,1,1,2,2,2,2,1,1,2,1,3,1,1,3,3,1,4,1,1,3,3,1,4,3,2,3,1,1,4,4,3,3,3,4,3,2,3,1,2,2
"AUS0412",393,7256,3,1997,0.83,411.5984,452.1031,399.1354,389.0092,374.2094,2,3,2,2,2,"QLD","Provincial","Male","Non-indigenous",4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,3,3,2,1,3,1,1,1,1,1,1,1,1,1,1,1,2,4,4,4,1,1,1
"AUS0412",393,7257,12,1996,-0.49,512.0813,473.1344,493.3868,480.1449,503.513,4,3,4,3,4,"QLD","Provincial","Male","Non-indigenous",1,3,3,3,2,2,2,2,2,3,2,2,3,2,2,1,2,2,1,1,2,2,2,2,3,3,2,3,2,2,3,3,2,3,3,4,3,3,2,3,2,2,3,3,2,3,3,3,2,1,2
"AUS0412",393,7262,3,1997,0.86,554.2997,571.4364,595.5834,551.184,535.6052,5,5,5,5,4,"QLD","Provincial","Female","Non-indigenous",4,3,3,3,3,1,1,1,1,3,1,2,4,3,2,2,3,3,2,3,2,3,1,2,3,3,1,4,1,1,3,3,1,3,2,3,3,2,4,4,2,2,2,2,1,2,2,3,1,1,3
"AUS0412",393,7264,1,1997,-0.88,420.7898,448.0527,458.9578,445.7158,444.9369,3,3,3,3,3,"QLD","Provincial","Female","Non-indigenous",1,4,3,3,3,2,2,2,3,1,4,4,4,4,3,2,2,2,2,3,2,2,3,4,3,4,4,2,4,4,4,4,4,4,1,4,2,1,3,3,1,1,1,2,1,3,2,3,2,2,3
